                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                  1.256,                0.88132,                 1.1828,                0.73187,                0.62885,                0.69199,                0.38601,                 1.5409,                 1.0713,                 1.3346,              0.0086536,              0.0086536,              0.0086536
                    139,                  1.251,                 0.8762,                 1.1766,                0.73574,                0.62722,                0.69063,                0.38391,                 1.5389,                 1.0716,                 1.3345,              0.0086437,              0.0086437,              0.0086437
                    140,                 1.2513,                0.88016,                 1.1751,                0.73077,                0.63569,                0.69424,                0.38696,                 1.5341,                 1.0626,                  1.333,              0.0086338,              0.0086338,              0.0086338
                    141,                 1.2558,                0.88507,                  1.177,                0.71042,                0.65606,                0.70258,                 0.3903,                 1.5308,                 1.0655,                 1.3341,              0.0086239,              0.0086239,              0.0086239
                    142,                 1.2573,                0.88491,                 1.1779,                0.72648,                0.63533,                 0.6954,                0.38833,                 1.5354,                 1.0775,                 1.3352,               0.008614,               0.008614,               0.008614
                    143,                 1.2404,                0.86886,                 1.1698,                0.71993,                0.63614,                0.69744,                0.39022,                  1.532,                 1.0651,                 1.3337,              0.0086041,              0.0086041,              0.0086041
                    144,                 1.2448,                0.88148,                 1.1719,                0.75818,                0.62399,                0.70135,                0.39091,                  1.534,                  1.064,                 1.3333,              0.0085942,              0.0085942,              0.0085942
                    145,                 1.2573,                0.87594,                 1.1804,                  0.767,                0.63047,                 0.7073,                0.39834,                 1.5138,                 1.0466,                 1.3242,              0.0085843,              0.0085843,              0.0085843
                    146,                  1.251,                0.87968,                 1.1781,                0.76342,                0.63209,                 0.7101,                0.39965,                 1.5292,                 1.0525,                 1.3324,              0.0085744,              0.0085744,              0.0085744
                    147,                 1.2477,                0.87543,                 1.1738,                0.76747,                0.59645,                0.70077,                0.39306,                 1.5315,                 1.0667,                 1.3319,              0.0085645,              0.0085645,              0.0085645
                    148,                  1.243,                 0.8746,                 1.1731,                0.76433,                0.61501,                0.70808,                0.39375,                 1.5274,                 1.0608,                 1.3292,              0.0085546,              0.0085546,              0.0085546
